version,category,text
2.1.47,Bugfix,"Fixed the bash permission classifier to validate that returned match descriptions correspond to actual input rules, preventing hallucinated descriptions from incorrectly granting permissions"
2.1.47,Bugfix,Fixed user-defined agents only loading one file on NFS/FUSE filesystems that report zero inodes (anthropics/claude-code#26044)
2.1.47,Bugfix,Fixed plugin agent skills silently failing to load when referenced by bare name instead of fully-qualified plugin name (anthropics/claude-code#25834)
2.1.47,Improvement,Search patterns in collapsed tool results are now displayed in quotes for clarity
2.1.47,Bugfix,"Windows: Fixed CWD tracking temp files never being cleaned up, causing them to accumulate indefinitely (anthropics/claude-code#17600)"
2.1.47,Change,"Use `ctrl+f` to kill all background agents instead of double-pressing ESC. Background agents now continue running when you press ESC to cancel the main thread, giving you more control over agent lifecycle."
2.1.47,Bugfix,"Fixed API 400 errors (""thinking blocks cannot be modified"") that occurred in sessions with concurrent agents, caused by interleaved streaming content blocks preventing proper message merging."
2.1.47,Change,"Simplified teammate navigation to use only Shift+Down (with wrapping) instead of both Shift+Up and Shift+Down."
2.1.47,Bugfix,"Fixed an issue where a single file write/edit error would abort all other parallel file write/edit operations. Independent file mutations now complete even when a sibling fails."
2.1.47,Feature,"Added `last_assistant_message` field to Stop and SubagentStop hook inputs, providing the final assistant response text so hooks can access it without parsing transcript files."
2.1.47,Bugfix,Fixed custom session titles set via `/rename` being lost after resuming a conversation (anthropics/claude-code#23610)
2.1.47,Bugfix,Fixed collapsed read/search hint text overflowing on narrow terminals by truncating from the start.
2.1.47,Bugfix,"Fixed an issue where bash commands with backslash-newline continuation lines (e.g., long commands split across multiple lines with `\`) would produce spurious empty arguments, potentially breaking command execution."
2.1.47,Bugfix,"Fixed built-in slash commands (`/help`, `/model`, `/compact`, etc.) being hidden from the autocomplete dropdown when many user skills are installed (anthropics/claude-code#22020)"
2.1.47,Bugfix,Fixed MCP servers not appearing in the MCP Management Dialog after deferred loading
2.1.47,Bugfix,Fixed session name persisting in status bar after `/clear` command (anthropics/claude-code#26082)
2.1.47,Bugfix,"Fixed crash when a skill's `name` or `description` in SKILL.md frontmatter is a bare number (e.g., `name: 3000`) — the value is now properly coerced to a string (anthropics/claude-code#25837)"
2.1.47,Bugfix,Fixed /resume silently dropping sessions when the first message exceeds 16KB or uses array-format content (anthropics/claude-code#25721)
2.1.47,Feature,Added `chat:newline` keybinding action for configurable multi-line input (anthropics/claude-code#26075)
2.1.47,Feature,Added `added_dirs` to the statusline JSON `workspace` section exposing directories added via `/add-dir` to external scripts (anthropics/claude-code#26096)
2.1.47,Bugfix,Fixed `claude doctor` misclassifying mise and asdf-managed installations as native installs (anthropics/claude-code#26033)
2.1.47,Bugfix,"Fixed zsh heredoc failing with ""read-only file system"" error in sandboxed commands (anthropics/claude-code#25990)"
2.1.47,Bugfix,Fixed agent progress indicator showing inflated tool use count (anthropics/claude-code#26023)
2.1.47,Bugfix,Fixed image pasting not working on WSL2 systems where Windows copies images as BMP format (anthropics/claude-code#25935)
2.1.47,Bugfix,Fixed background agent results returning raw transcript data instead of the agent's final answer (anthropics/claude-code#26012)
2.1.47,Bugfix,Fixed Warp terminal incorrectly prompting for Shift+Enter setup when it supports it natively (anthropics/claude-code#25957)
2.1.47,Bugfix,Fixed CJK wide characters causing misaligned timestamps and layout elements in the TUI (anthropics/claude-code#26084)
2.1.47,Bugfix,Fixed custom agent `model` field in `.claude/agents/*.md` being ignored when spawning team teammates (anthropics/claude-code#26064)
2.1.47,Bugfix,"Fixed plan mode being lost after context compaction, causing the model to switch from planning to implementation mode (anthropics/claude-code#26061)"
2.1.47,Bugfix,Fixed `alwaysThinkingEnabled: true` in settings.json not enabling thinking mode on Bedrock and Vertex providers (anthropics/claude-code#26074)
2.1.47,Bugfix,Fixed `tool_decision` OTel telemetry event not being emitted in headless/SDK mode (anthropics/claude-code#26059)
2.1.47,Bugfix,Fixed session name being lost after context compaction — renamed sessions now preserve their custom title through compaction (anthropics/claude-code#26121)
2.1.47,Improvement,Increased initial session count in resume picker from 10 to 50 for faster session discovery (anthropics/claude-code#26123)
2.1.47,Bugfix,Windows: fixed worktree session matching when drive letter casing differs (anthropics/claude-code#26123)
2.1.47,Bugfix,Fixed `/resume <session-id>` failing to find sessions whose first message exceeds 16KB (anthropics/claude-code#25920)
2.1.47,Bugfix,"Fixed ""Always allow"" on multiline bash commands creating invalid permission patterns that corrupt settings (anthropics/claude-code#25909)"
2.1.47,Bugfix,"Fixed React crash (error #31) when a skill's `argument-hint` in SKILL.md frontmatter uses YAML sequence syntax (e.g., `[topic: foo | bar]`) — the value is now properly coerced to a string (anthropics/claude-code#25826)"
2.1.47,Bugfix,"Fixed crash when using `/fork` on sessions that used web search — null entries in search results from transcript deserialization are now handled gracefully (anthropics/claude-code#25811)"
2.1.47,Bugfix,Fixed read-only git commands triggering FSEvents file watcher loops on macOS by adding --no-optional-locks flag (anthropics/claude-code#25750)
2.1.47,Bugfix,"Fixed custom agents and skills not being discovered when running from a git worktree — project-level `.claude/agents/` and `.claude/skills/` from the main repository are now included (anthropics/claude-code#25816)"
2.1.47,Bugfix,"Fixed non-interactive subcommands like `claude doctor` and `claude plugin validate` being blocked inside nested Claude sessions (anthropics/claude-code#25803)"
2.1.47,Bugfix,Windows: Fixed the same CLAUDE.md file being loaded twice when drive letter casing differs between paths (anthropics/claude-code#25756)
2.1.47,Bugfix,Fixed inline code spans in markdown being incorrectly parsed as bash commands (anthropics/claude-code#25792)
2.1.47,Bugfix,Fixed teammate spinners not respecting custom spinnerVerbs from settings (anthropics/claude-code#25748)
2.1.47,Bugfix,Fixed shell commands permanently failing after a command deletes its own working directory (anthropics/claude-code#26136)
2.1.47,Bugfix,"Fixed hooks (PreToolUse, PostToolUse) silently failing to execute on Windows by using Git Bash instead of cmd.exe (anthropics/claude-code#25981)"
2.1.47,Bugfix,"Fixed LSP `findReferences` and other location-based operations returning results from gitignored files (e.g., `node_modules/`, `venv/`) (anthropics/claude-code#26051)"
2.1.47,Change,Moved config backup files from home directory root to `~/.claude/backups/` to reduce home directory clutter (anthropics/claude-code#26130)
2.1.47,Bugfix,Fixed sessions with large first prompts (>16KB) disappearing from the /resume list (anthropics/claude-code#26140)
2.1.47,Bugfix,"Fixed shell functions with double-underscore prefixes (e.g., `__git_ps1`) not being preserved across shell sessions (anthropics/claude-code#25824)"
2.1.47,Bugfix,"Fixed spinner showing ""0 tokens"" counter before any tokens have been received (anthropics/claude-code#26105)"
2.1.47,Bugfix,VSCode: Fixed conversation messages appearing dimmed while the AskUserQuestion dialog is open (anthropics/claude-code#26078)
2.1.47,Bugfix,"Fixed background tasks failing in git worktrees due to remote URL resolution reading from worktree-specific gitdir instead of the main repository config (anthropics/claude-code#26065)"
2.1.47,Bugfix,"Fixed Right Alt key leaving visible `[25~` escape sequence residue in the input field on Windows/Git Bash terminals (anthropics/claude-code#25943)"
2.1.47,Improvement,The `/rename` command now updates the terminal tab title by default (anthropics/claude-code#25789)
2.1.47,Bugfix,"Fixed Edit tool silently corrupting Unicode curly quotes (\u201c\u201d \u2018\u2019) by replacing them with straight quotes when making edits (anthropics/claude-code#26141)"
2.1.47,Bugfix,Fixed OSC 8 hyperlinks only being clickable on the first line when link text wraps across multiple terminal lines.
2.1.44,Bugfix,Fixed auth refresh errors
